,01-10-2021,02-10-2021,03-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,09-10-2021,10-10-2021,11-10-2021,12-10-2021,13-10-2021,14-10-2021,15-10-2021,16-10-2021,17-10-2021,18-10-2021,19-10-2021,20-10-2021,21-10-2021,22-10-2021,23-10-2021,24-10-2021,25-10-2021,26-10-2021,27-10-2021,28-10-2021,29-10-2021,30-10-2021,31-10-2021,01-11-2021,,
01-10-2019 00:30,47.606,194.443,145.159,266.465,131.876,352.94,193.321,191.725,205.572,363.629,227.054,120.502,22.328,6.56,63.834,40.794,50.27,14.534,58.98,25.163,107.435,1.994,9.795,246.591,406.991,197.766,7.979,59.878,154.48,220.861,35.764,41.256,0.131673281,1250.896172
01-10-2019 01:30,59.846,193.895,133.404,263.737,117.74,366.912,182.344,163.778,200.432,348.154,192.918,109.569,13.822,1.415,51.164,38.964,29.941,7.848,52.525,10.656,103.681,0.088,23.951,259.9,419.565,207.412,4.59,56.385,174.41,167.223,48.469,28.064,0.126025063,1197.238094
01-10-2019 02:30,62.543,176.781,130.312,240.72,98.638,314.889,157.141,126.674,207.909,265.893,138.313,84.468,8.458,0.218,46.84,20.139,13.243,3.154,46.401,2.618,88.64,0.226,35.269,240.548,401.682,182.698,3.454,56.507,191.154,105.346,57.224,15.132,0.110101,1045.9595
01-10-2019 03:30,57.808,153.361,125.03,210.985,73.317,241.088,125.683,94.577,207.591,154.878,98.397,53.122,5.421,0.013,41.344,9.339,3.256,1.441,42.228,1.332,72.754,5.453,51.992,185.261,364.255,140.058,3.012,59.875,201.634,66.508,61.085,6.066,0.091192625,866.3299375
01-10-2019 04:30,53.21,133.615,113.508,199.727,64.236,186.084,108.475,70.656,155.103,104.029,75.796,28.907,3.774,0,40.354,9.882,0.597,0.592,41.226,3.854,66.646,32.081,76.412,127.893,319.01,104.742,3.845,67.94,203.434,52.534,61.272,2.289,0.078491344,745.6677656
01-10-2019 05:30,47.317,119.226,95.714,182.802,73.612,147.126,92.474,51.446,119.89,84.96,64.81,12.417,3.283,0,45.029,15.871,0.104,0.276,42.609,13.544,66.355,73.558,108.092,92.56,261.047,72.462,6.31,75.55,161.407,59.591,62.474,1.056,0.070405375,668.8510625
01-10-2019 06:30,36.752,95.508,62.684,132.958,63.22,98.546,72.527,36.275,89.73,62.234,54.735,4.496,2.546,0.001,51.316,28.352,0.065,0.125,45.527,30.408,57.462,101.473,131.236,67.981,186.257,45.049,4.581,90.704,92.155,78.071,54.742,0.622,0.058698063,557.6315938
01-10-2019 07:30,23.536,87.93,52.553,102.454,53.312,85.993,51.297,26.005,67.921,67.665,68.433,2.23,3.708,0.172,53.115,37.892,0.441,0.282,34.812,44.972,36.535,96.201,112.741,50.177,107.132,35.951,0.741,86.061,35.186,137.617,54.07,1.368,0.050578219,480.4930781
01-10-2019 08:30,33.973,93.252,46.373,71.682,64.458,85.781,50.041,23.538,69.559,76.405,61.062,1.406,3.156,1.771,78.146,68.462,2.102,0.28,40.604,99.339,36.352,108.488,125.993,45.484,73.193,45.482,0.065,98.604,34.319,225.204,63.662,3.104,0.057229375,543.6790625
01-10-2019 09:30,32.411,70.332,36.454,33.394,67.092,81.163,36.04,15.255,64.189,75.927,30.437,0.751,4.185,7.503,114.35,72.602,6.644,0.155,39.028,177.743,41.052,105.544,117.706,25.499,69.683,52.181,0,163.658,57.466,294.619,68.301,5.795,0.061473719,584.0003281
01-10-2019 10:30,22.539,48.178,27.72,8.681,65.959,75.34,25.177,10.847,57.303,76.408,10.609,0.378,6.786,15.823,146.278,36.296,19.404,0.171,34.646,248.889,56.322,86.414,79.812,11.514,61.949,44.626,0.024,200.84,83.462,325.159,72.298,10.365,0.061569281,584.9081719
01-10-2019 11:30,13.743,32.888,20.368,1.095,68.435,68.025,19.149,11.139,49.422,78.294,5,0.128,10.56,20.285,177.728,15.181,40.892,0.501,27.907,295.029,84.817,58.183,40.419,15.338,54.646,33.309,0.469,204.101,96.897,315.663,82.45,18.872,0.061279156,582.1519844
01-10-2019 12:30,8.776,22.513,13.52,0.029,72.284,60.953,16.778,13.944,44.749,76.017,7.101,0.056,15.12,18.638,206.641,15.429,62.53,2.024,32.243,290.031,126.471,31.177,19.293,30.784,45.038,22.954,3.128,200.817,125.17,291.335,92.092,33.326,0.062530031,594.0352969
01-10-2019 13:30,6.744,17.84,7.628,0.002,73.576,57.214,12.028,19.009,45.84,69.202,18.561,0.085,22.237,13.852,236.1,28.789,81.292,5.473,46.323,253.392,164.444,13.03,6.728,46.974,38.913,18.612,9.196,177.261,182.692,261.408,96.062,48.325,0.0649635,617.15325
01-10-2019 14:30,8.092,18.421,5.673,4.282,74.732,60.252,9.413,33.978,54.962,63.419,43.224,0.869,36.674,17.632,240.719,56.418,89.564,11.455,62.115,201.092,192.219,3.951,1.491,58.6,29.456,18.514,17.543,144.476,245.258,207.755,84.859,62.613,0.067491281,641.1671719
01-10-2019 15:30,15.5,28.581,10.721,27.82,84.101,66.928,10.797,66.917,74.293,60.572,74.248,7.235,55.164,36.626,223.078,98.342,83.725,21.599,75.775,159.687,211.296,0.806,0.211,79.649,22.575,19.899,29.96,119.737,283.594,157.246,70.778,76.879,0.073573094,698.9443906
01-10-2019 16:30,37.203,54.288,29.859,65.664,101.569,78.163,19.913,111.11,111.536,69.747,110.737,22.948,76.039,68.355,194.767,152.931,63.256,32.798,83.684,151.76,217.544,0.179,0.836,106.117,26.465,25.599,44.557,101.755,304.954,120.231,70.6,89.772,0.08577925,814.902875
01-10-2019 17:30,87.751,111.706,91.07,134.891,139.276,102.582,55.175,170.344,173.967,100.299,155.029,44.77,96.047,101.609,188.062,211.6,42.716,46.604,84.274,168.799,219.819,0.467,13.749,154.611,42.257,34.675,66.336,87.983,357.631,97.259,80.177,100.708,0.111320094,1057.540891
01-10-2019 18:30,162.823,185.256,186.524,206.883,182.931,132.445,130.691,252.079,246.066,144.013,191.815,69.66,117.228,139.012,179.937,255.609,29.92,62.662,81.98,197.238,213.445,6.55,47.207,218.573,71.837,46.427,86.882,82.666,401.555,84.295,88.288,103.651,0.143942125,1367.450188
01-10-2019 19:30,208.316,234.984,248.656,237.136,208.763,154.612,206.669,320.075,293.817,170.041,193.795,86.562,123.032,162.957,160.284,256.418,20.421,76.433,67.847,208.82,182.094,18.049,73.009,273.249,110.902,56.918,103.883,80.895,412.716,71.227,84.328,95.272,0.162568125,1544.397188
01-10-2019 20:30,219.047,245.277,263.625,217.617,243.009,175.973,237.583,321.234,313.916,181.794,177.529,83.018,100.439,156.617,124.872,219.786,16.366,81.876,61.837,200.873,141.46,18.936,89.434,301.382,134.172,56.436,108.814,94.5,397.802,55.091,84.641,74.249,0.162475156,1543.513984
01-10-2019 21:30,211.467,226.099,258.105,185.482,280.701,191.805,240.544,285.427,317.545,188.999,155.823,69.391,67.305,129.729,88.63,167.437,14.909,76.906,60.133,178.149,96.943,10.461,113.427,315.913,153.022,47.362,103.752,117.687,379.047,39.873,84.576,46.128,0.153211781,1455.511922
01-10-2019 22:30,205.185,199.063,263.756,163.932,309.378,201.001,236.129,251.221,325.456,200.86,142.012,54.16,38.103,102.982,58.316,119.471,16.339,71.64,54.03,144.859,53.887,4.828,161.629,352.365,178.812,32.35,92.79,135.738,339.752,30.924,71.645,21.454,0.144814594,1375.738641
01-10-2019 23:30,200.769,169.95,265.871,145.146,334.05,200.862,219.586,223.05,343.248,223.027,131.326,37.778,18.358,81.657,45.041,83.755,16.638,67.194,42.26,121.018,17.255,3.425,213.582,385.658,193.674,17.295,72.858,143.314,280.829,29.123,55.059,6.349,0.137156406,1302.985859
